Date,Close
2/21/2018,840.34
2/22/2018,806
2/23/2018,854.01
2/24/2018,833.2
2/25/2018,841.96
2/26/2018,867.09
2/27/2018,871.07
2/28/2018,849.99
3/1/2018,868.74
3/2/2018,854.31
3/3/2018,854.34
3/4/2018,861.74
3/5/2018,848.83
3/6/2018,815.43
3/7/2018,751.38
3/8/2018,698.83
3/9/2018,728.46
3/10/2018,683.6
3/11/2018,719.79
3/12/2018,696.51
3/13/2018,690.39
3/14/2018,614.63
3/15/2018,610.99
3/16/2018,600.51
3/17/2018,549.79
3/18/2018,538
3/19/2018,555.55
3/20/2018,558
3/21/2018,559.98
3/22/2018,539.89
3/23/2018,543.04
3/24/2018,519.57
3/25/2018,522.55
3/26/2018,486.75
3/27/2018,449
3/28/2018,445.47
3/29/2018,383.29
3/30/2018,394.46
3/31/2018,394.54
4/1/2018,378.18
4/2/2018,384
4/3/2018,416.28
4/4/2018,378.43
4/5/2018,381.55
4/6/2018,370.32
4/7/2018,384.61
4/8/2018,399.9
4/9/2018,398.8
4/10/2018,415.45
4/11/2018,430.81
4/12/2018,493.41
4/13/2018,495.76
4/14/2018,502.4
4/15/2018,533.74
4/16/2018,511.28
4/17/2018,502.42
4/18/2018,525.89
4/19/2018,567.29
4/20/2018,617.17
4/21/2018,605.16
4/22/2018,620.07
4/23/2018,642.85
4/24/2018,703.38
4/25/2018,617.49
4/26/2018,661
4/27/2018,643.11
4/28/2018,682
4/29/2018,687.51
4/30/2018,669.81
5/1/2018,670.75
5/2/2018,685.02
5/3/2018,775.51
5/4/2018,783.01
5/5/2018,812
5/6/2018,784.28
5/7/2018,752.42
5/8/2018,746.99
5/9/2018,750
5/10/2018,723.51
5/11/2018,678.05
5/12/2018,684.66
5/13/2018,729.29
5/14/2018,726.9
5/15/2018,706.08
5/16/2018,707.45
5/17/2018,668.56
5/18/2018,694.5
5/19/2018,695.96
5/20/2018,714
5/21/2018,696.77
5/22/2018,640.5
5/23/2018,577.2
5/24/2018,602.64
5/25/2018,584.02
5/26/2018,584.99
5/27/2018,570.75
5/28/2018,511.33
5/29/2018,566.66
5/30/2018,557.22
5/31/2018,577.1
6/1/2018,578.89
6/2/2018,590.46
6/3/2018,618.63
6/4/2018,591.5
6/5/2018,607.6
6/6/2018,606.18
6/7/2018,603.56
6/8/2018,598.59
6/9/2018,593.41
6/10/2018,525.25
6/11/2018,531.68
6/12/2018,494.14
6/13/2018,476.02
6/14/2018,519.75
6/15/2018,487.45
6/16/2018,497.31
6/17/2018,496.5
6/18/2018,517.47
6/19/2018,538.5
6/20/2018,536
6/21/2018,525.49
6/22/2018,462.01
6/23/2018,475.17
6/24/2018,454.79
6/25/2018,458.41
6/26/2018,429.08
6/27/2018,441.41
6/28/2018,420
6/29/2018,434.6
6/30/2018,453.29
7/1/2018,451.43
7/2/2018,476.34
7/3/2018,461.75
7/4/2018,466.9
7/5/2018,467.25
7/6/2018,469.3
7/7/2018,484.48
7/8/2018,486.08
7/9/2018,471.6
7/10/2018,432.59
7/11/2018,446.25
7/12/2018,431.46
7/13/2018,432.8
7/14/2018,434.13
7/15/2018,449.41
7/16/2018,478.18
7/17/2018,499.01
7/18/2018,478.81
7/19/2018,468.39
7/20/2018,448.21
7/21/2018,461.5
7/22/2018,456.9
7/23/2018,449
7/24/2018,478.79
7/25/2018,470.81
7/26/2018,461.42
7/27/2018,469.3
7/28/2018,468.12
7/29/2018,466.01
7/30/2018,456.46
7/31/2018,432.35
8/1/2018,419.6
8/2/2018,410.71
8/3/2018,417.8
8/4/2018,407
8/5/2018,408.83
8/6/2018,404.99
8/7/2018,378.08
8/8/2018,355.7
8/9/2018,363.99
8/10/2018,330.99
8/11/2018,318.02
8/12/2018,318.15
8/13/2018,284.11
8/14/2018,279.4
8/15/2018,281.21
8/16/2018,286.67
8/17/2018,317.54
8/18/2018,296.61
8/19/2018,300.03
8/20/2018,270.76
8/21/2018,281.49
8/22/2018,270.47
8/23/2018,275.87
8/24/2018,281.35
8/25/2018,277.97
8/26/2018,274.25
8/27/2018,287.99
8/28/2018,295.39
8/29/2018,289
8/30/2018,284.52
8/31/2018,281.94
9/1/2018,294.64
9/2/2018,295.06
9/3/2018,288.6
9/4/2018,285.43
9/5/2018,227.56
